date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,SoybeanOil_N0,SoybeanOil_N1,SoybeanOil_N2,SoybeanOil_N3,SoybeanOil_N4,SoybeanOil_N5,SoybeanOil_N6
2022-05-31,O,2022-05-30 20:00:00,2022-05-31 14:20:00,2022-05-31 14:14:00,2022-05-31 14:15:00,16,,202207,202212,202301,202303,202305,202307
2022-06-01,O,2022-05-31 20:00:00,2022-06-01 14:20:00,2022-06-01 14:14:00,2022-06-01 14:15:00,15,,202207,202212,202301,202303,202305,202307
2022-06-02,O,2022-06-01 20:00:00,2022-06-02 14:20:00,2022-06-02 14:14:00,2022-06-02 14:15:00,14,,202207,202212,202301,202303,202305,202307
2022-06-03,O,2022-06-02 20:00:00,2022-06-03 14:20:00,2022-06-03 14:14:00,2022-06-03 14:15:00,13,,202207,202212,202301,202303,202305,202307
2022-06-06,O,2022-06-05 20:00:00,2022-06-06 14:20:00,2022-06-06 14:14:00,2022-06-06 14:15:00,12,,202207,202212,202301,202303,202305,202307
2022-06-07,O,2022-06-06 20:00:00,2022-06-07 14:20:00,2022-06-07 14:14:00,2022-06-07 14:15:00,11,,202207,202212,202301,202303,202305,202307
2022-06-08,O,2022-06-07 20:00:00,2022-06-08 14:20:00,2022-06-08 14:14:00,2022-06-08 14:15:00,10,,202207,202212,202301,202303,202305,202307
2022-06-09,O,2022-06-08 20:00:00,2022-06-09 14:20:00,2022-06-09 14:14:00,2022-06-09 14:15:00,9,,202207,202212,202301,202303,202305,202307
2022-06-10,O,2022-06-09 20:00:00,2022-06-10 14:20:00,2022-06-10 14:14:00,2022-06-10 14:15:00,8,,202207,202212,202301,202303,202305,202307
2022-06-13,O,2022-06-12 20:00:00,2022-06-13 14:20:00,2022-06-13 14:14:00,2022-06-13 14:15:00,7,,202207,202212,202301,202303,202305,202307
2022-06-14,O,2022-06-13 20:00:00,2022-06-14 14:20:00,2022-06-14 14:14:00,2022-06-14 14:15:00,6,,202207,202212,202301,202303,202305,202307
2022-06-15,O,2022-06-14 20:00:00,2022-06-15 14:20:00,2022-06-15 14:14:00,2022-06-15 14:15:00,5,,202207,202212,202301,202303,202305,202307
2022-06-16,O,2022-06-15 20:00:00,2022-06-16 14:20:00,2022-06-16 14:14:00,2022-06-16 14:15:00,4,,202207,202212,202301,202303,202305,202307
2022-06-17,O,2022-06-16 20:00:00,2022-06-17 14:20:00,2022-06-17 14:14:00,2022-06-17 14:15:00,3,,202207,202212,202301,202303,202305,202307
2022-06-20,X,,,,,,,,,,,,
