date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,Coffee_N0,Coffee_N1,Coffee_N2,Coffee_N3,Coffee_N4,Coffee_N5,Coffee_N6
2023-01-05,O,2023-01-05 04:15:00,2023-01-05 13:30:00,2023-01-05 12:23:00,2023-01-05 12:25:00,25,,202303,202305,202307,202309,202312,202403
2023-01-06,O,2023-01-06 04:15:00,2023-01-06 13:30:00,2023-01-06 12:23:00,2023-01-06 12:25:00,24,,202303,202305,202307,202309,202312,202403
2023-01-09,O,2023-01-09 04:15:00,2023-01-09 13:30:00,2023-01-09 12:23:00,2023-01-09 12:25:00,23,,202303,202305,202307,202309,202312,202403
2023-01-10,O,2023-01-10 04:15:00,2023-01-10 13:30:00,2023-01-10 12:23:00,2023-01-10 12:25:00,22,,202303,202305,202307,202309,202312,202403
2023-01-11,O,2023-01-11 04:15:00,2023-01-11 13:30:00,2023-01-11 12:23:00,2023-01-11 12:25:00,21,,202303,202305,202307,202309,202312,202403
2023-01-12,O,2023-01-12 04:15:00,2023-01-12 13:30:00,2023-01-12 12:23:00,2023-01-12 12:25:00,20,,202303,202305,202307,202309,202312,202403
2023-01-13,O,2023-01-13 04:15:00,2023-01-13 13:30:00,2023-01-13 12:23:00,2023-01-13 12:25:00,19,,202303,202305,202307,202309,202312,202403
2023-01-16,X,,,,,,,,,,,,
2023-01-17,O,2023-01-17 04:15:00,2023-01-17 13:30:00,2023-01-17 12:23:00,2023-01-17 12:25:00,18,,202303,202305,202307,202309,202312,202403
2023-01-18,O,2023-01-18 04:15:00,2023-01-18 13:30:00,2023-01-18 12:23:00,2023-01-18 12:25:00,17,,202303,202305,202307,202309,202312,202403
2023-01-19,O,2023-01-19 04:15:00,2023-01-19 13:30:00,2023-01-19 12:23:00,2023-01-19 12:25:00,16,,202303,202305,202307,202309,202312,202403
2023-01-20,O,2023-01-20 04:15:00,2023-01-20 13:30:00,2023-01-20 12:23:00,2023-01-20 12:25:00,15,,202303,202305,202307,202309,202312,202403
2023-01-23,O,2023-01-23 04:15:00,2023-01-23 13:30:00,2023-01-23 12:23:00,2023-01-23 12:25:00,14,,202303,202305,202307,202309,202312,202403
2023-01-24,O,2023-01-24 04:15:00,2023-01-24 13:30:00,2023-01-24 12:23:00,2023-01-24 12:25:00,13,,202303,202305,202307,202309,202312,202403
2023-01-25,O,2023-01-25 04:15:00,2023-01-25 13:30:00,2023-01-25 12:23:00,2023-01-25 12:25:00,12,,202303,202305,202307,202309,202312,202403
2023-01-26,O,2023-01-26 04:15:00,2023-01-26 13:30:00,2023-01-26 12:23:00,2023-01-26 12:25:00,11,,202303,202305,202307,202309,202312,202403
2023-01-27,O,2023-01-27 04:15:00,2023-01-27 13:30:00,2023-01-27 12:23:00,2023-01-27 12:25:00,10,,202303,202305,202307,202309,202312,202403
2023-01-30,O,2023-01-30 04:15:00,2023-01-30 13:30:00,2023-01-30 12:23:00,2023-01-30 12:25:00,9,,202303,202305,202307,202309,202312,202403
2023-01-31,O,2023-01-31 04:15:00,2023-01-31 13:30:00,2023-01-31 12:23:00,2023-01-31 12:25:00,8,,202303,202305,202307,202309,202312,202403
2023-02-01,O,2023-02-01 04:15:00,2023-02-01 13:30:00,2023-02-01 12:23:00,2023-02-01 12:25:00,7,,202303,202305,202307,202309,202312,202403
2023-02-02,O,2023-02-02 04:15:00,2023-02-02 13:30:00,2023-02-02 12:23:00,2023-02-02 12:25:00,6,,202303,202305,202307,202309,202312,202403
