date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,RobustaCoffee_N0,RobustaCoffee_N1,RobustaCoffee_N2,RobustaCoffee_N3,RobustaCoffee_N4,RobustaCoffee_N5,RobustaCoffee_N6
1992-03-06,O,1992-03-06 04:00:00,1992-03-06 12:30:00,1992-03-06 12:23:00,1992-03-06 12:25:00,4273,,,,,,,
1992-03-09,O,1992-03-09 04:00:00,1992-03-09 12:30:00,1992-03-09 12:23:00,1992-03-09 12:25:00,4272,,,,,,,
1992-03-10,O,1992-03-10 04:00:00,1992-03-10 12:30:00,1992-03-10 12:23:00,1992-03-10 12:25:00,4271,,,,,,,
1992-03-11,O,1992-03-11 04:00:00,1992-03-11 12:30:00,1992-03-11 12:23:00,1992-03-11 12:25:00,4270,,,,,,,
1992-03-12,O,1992-03-12 04:00:00,1992-03-12 12:30:00,1992-03-12 12:23:00,1992-03-12 12:25:00,4269,,,,,,,
1992-03-13,O,1992-03-13 04:00:00,1992-03-13 12:30:00,1992-03-13 12:23:00,1992-03-13 12:25:00,4268,,,,,,,
1992-03-16,O,1992-03-16 04:00:00,1992-03-16 12:30:00,1992-03-16 12:23:00,1992-03-16 12:25:00,4267,,,,,,,
1992-03-17,O,1992-03-17 04:00:00,1992-03-17 12:30:00,1992-03-17 12:23:00,1992-03-17 12:25:00,4266,,,,,,,
1992-03-18,O,1992-03-18 04:00:00,1992-03-18 12:30:00,1992-03-18 12:23:00,1992-03-18 12:25:00,4265,,,,,,,
1992-03-19,O,1992-03-19 04:00:00,1992-03-19 12:30:00,1992-03-19 12:23:00,1992-03-19 12:25:00,4264,,,,,,,
1992-03-20,O,1992-03-20 04:00:00,1992-03-20 12:30:00,1992-03-20 12:23:00,1992-03-20 12:25:00,4263,,,,,,,
1992-03-23,O,1992-03-23 04:00:00,1992-03-23 12:30:00,1992-03-23 12:23:00,1992-03-23 12:25:00,4262,,,,,,,
