date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,SoybeanOil_N0,SoybeanOil_N1,SoybeanOil_N2,SoybeanOil_N3,SoybeanOil_N4,SoybeanOil_N5,SoybeanOil_N6
2011-12-09,O,2011-12-08 20:00:00,2011-12-09 14:20:00,2011-12-09 14:14:00,2011-12-09 14:15:00,9,201112,201201,201203,201205,201207,201212,201301
2011-12-12,O,2011-12-11 20:00:00,2011-12-12 14:20:00,2011-12-12 14:14:00,2011-12-12 14:15:00,8,201112,201201,201203,201205,201207,201212,201301
2011-12-13,O,2011-12-12 20:00:00,2011-12-13 14:20:00,2011-12-13 14:14:00,2011-12-13 14:15:00,7,201112,201201,201203,201205,201207,201212,201301
2011-12-14,O,2011-12-13 20:00:00,2011-12-14 14:20:00,2011-12-14 14:14:00,2011-12-14 14:15:00,6,201112,201201,201203,201205,201207,201212,201301
2011-12-15,O,2011-12-14 20:00:00,2011-12-15 14:20:00,2011-12-15 14:14:00,2011-12-15 14:15:00,5,,201201,201203,201205,201207,201212,201301
2011-12-16,O,2011-12-15 20:00:00,2011-12-16 14:20:00,2011-12-16 14:14:00,2011-12-16 14:15:00,4,,201201,201203,201205,201207,201212,201301
2011-12-19,O,2011-12-18 20:00:00,2011-12-19 14:20:00,2011-12-19 14:14:00,2011-12-19 14:15:00,3,,201201,201203,201205,201207,201212,201301
2011-12-20,O,2011-12-19 20:00:00,2011-12-20 14:20:00,2011-12-20 14:14:00,2011-12-20 14:15:00,2,,201201,201203,201205,201207,201212,201301
2011-12-21,O,2011-12-20 20:00:00,2011-12-21 14:20:00,2011-12-21 14:14:00,2011-12-21 14:15:00,1,,201201,201203,201205,201207,201212,201301
2011-12-22,O,2011-12-21 20:00:00,2011-12-22 14:20:00,2011-12-22 14:14:00,2011-12-22 14:15:00,0,,201201,201203,201205,201207,201212,201301
